Sensor.Gene	Sensor.Name	Sensor.Type	Sensor.Pathway	HMDB.ID	Metabolite.Name	Metabolite.Class	Metabolite.Pathway	Long.Range.Channel	Evidences	Sources
CASR	Extracellular calcium-sensing receptor (CaR) (CaSR) (hCasR) (Parathyroid cell calcium-sensing receptor 1) (PCaR1)	receptor	WP4424: G alpha (q) signaling events; WP501: GPCRs, class C metabotropic glutamate, pheromone; WP4423: G alpha (i) signaling events; WP4418: Class C/3 (metabotropic glutamate/pheromone receptors)	HMDB0000517	L-Arginine	Organic acids and derivatives	Arginine and proline metabolism; Aspartate Metabolism; Glycine, serine and threonine metabolism; Urea Cycle	Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine	30088839	MetalinkDB
CASR	Extracellular calcium-sensing receptor (CaR) (CaSR) (hCasR) (Parathyroid cell calcium-sensing receptor 1) (PCaR1)	receptor	WP4424: G alpha (q) signaling events; WP501: GPCRs, class C metabotropic glutamate, pheromone; WP4423: G alpha (i) signaling events; WP4418: Class C/3 (metabotropic glutamate/pheromone receptors)	HMDB0001256	Spermine	Organic nitrogen compounds		Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	30626206	MetaChatDB
CATSPER1	Cation channel sperm-associated protein 1 (CatSper1) (hCatSper)	transporter		HMDB0001830	Progesterone	Lipids and lipid-like molecules	Steroidogenesis	Blood,Cerebrospinal Fluid (CSF),Urine	21412338; 29305558; 31862909	MetalinkDB
CATSPER2	Cation channel sperm-associated protein 2 (CatSper2)	transporter		HMDB0000234	Testosterone	Lipids and lipid-like molecules	Androgen and Estrogen Metabolism	Blood,Cerebrospinal Fluid (CSF),Saliva,Urine	32926144	MetaChatDB
CATSPER2	Cation channel sperm-associated protein 2 (CatSper2)	transporter		HMDB0001830	Progesterone	Lipids and lipid-like molecules	Steroidogenesis	Blood,Cerebrospinal Fluid (CSF),Urine	21412338; 29305558; 31862909	MetalinkDB
CATSPER3	Cation channel sperm-associated protein 3 (CatSper3) (Ca(v)-like protein) (One-repeat calcium channel-like protein)	transporter		HMDB0001830	Progesterone	Lipids and lipid-like molecules	Steroidogenesis	Blood,Cerebrospinal Fluid (CSF),Urine	21412338; 29305558; 31862909	MetalinkDB
CATSPER3	Cation channel sperm-associated protein 3 (CatSper3) (Ca(v)-like protein) (One-repeat calcium channel-like protein)	transporter		HMDB0000063	Cortisol	Lipids and lipid-like molecules	Steroidogenesis	Blood,Cerebrospinal Fluid (CSF),Saliva,Urine	36251513	MetaChatDB
CATSPER3	Cation channel sperm-associated protein 3 (CatSper3) (Ca(v)-like protein) (One-repeat calcium channel-like protein)	transporter		HMDB0000774	Pregnenolone sulfate	Lipids and lipid-like molecules		Blood,Feces,Urine	28507119	MetaChatDB
CATSPER3	Cation channel sperm-associated protein 3 (CatSper3) (Ca(v)-like protein) (One-repeat calcium channel-like protein)	transporter		HMDB0000234	Testosterone	Lipids and lipid-like molecules	Androgen and Estrogen Metabolism	Blood,Cerebrospinal Fluid (CSF),Saliva,Urine	32926144	MetaChatDB
CATSPER4	Cation channel sperm-associated protein 4 (CatSper4)	transporter		HMDB0001830	Progesterone	Lipids and lipid-like molecules	Steroidogenesis	Blood,Cerebrospinal Fluid (CSF),Urine	21412338; 29305558; 31862909	MetalinkDB
CCR9	C-C chemokine receptor type 9 (C-C CKR-9) (CC-CKR-9) (CCR-9) (G-protein coupled receptor 28) (GPR-9-6) (CD antigen CDw199)	receptor	WP4874: CAMKK2 pathway; WP3929: Chemokine signaling; WP4423: G alpha (i) signaling events; WP4419: Class A/1 (rhodopsin-like receptors); WP455: GPCRs, class A rhodopsin-like; WP5473: Cytokine-cytokine receptor interaction; WP24: Peptide GPCRs	HMDB0000073	Dopamine	Benzenoids	Tyrosine metabolism	Blood,Cerebrospinal Fluid (CSF),Feces,Urine	33864900	MetalinkDB
CD247	T-cell surface glycoprotein CD3 zeta chain (T-cell receptor T3 zeta chain) (CD antigen CD247)	receptor	WP5072: Modulators of TCR signaling and T cell activation; WP5130: Th17 cell differentiation pathway; WP69: T-cell receptor signaling	HMDB0000067	Cholesterol	Lipids and lipid-like molecules	Primary bile acid biosynthesis; Steroid Biosynthesis; Steroidogenesis	Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	27192576	MetaChatDB
CD300LF	CMRF35-like molecule 1 (CLM-1) (CD300 antigen-like family member F) (Immune receptor expressed on myeloid cells 1) (IREM-1) (Immunoglobulin superfamily member 13) (IgSF13) (NK inhibitory receptor) (CD antigen CD300f)	receptor		HMDB0001565	Phosphorylcholine	Organic nitrogen compounds	Phospholipid Biosynthesis; Starch and sucrose metabolism	Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	30194229	MetaChatDB
CD36	Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36)	receptor,transporter	WP3942: PPAR signaling; WP4069: Regulation of TLR by endogenous ligand; WP2761: MyD88:MAL(TIRAP) cascade initiated on plasma membrane; WP4066: Interleukin-4 and Interleukin-13 signaling; WP4754: IL18 signaling; WP2775: Toll-like receptor cascades; WP2586: Aryl hydrocarbon receptor pathway; WP1903: Response to elevated platelet cytosolic Ca ions; WP4847: AXL signaling; WP3577: Class I MHC mediated antigen processing and presentation; WP4049: Neutrophil degranulation; WP5181: Roles of ceramides in development of insulin resistance; WP2797: Regulation of lipid metabolism by PPARalpha; WP2784: Binding and uptake of ligands by scavenger receptors; WP5071: PPAR-gamma pathway	HMDB0000067	Cholesterol	Lipids and lipid-like molecules	Primary bile acid biosynthesis; Steroid Biosynthesis; Steroidogenesis	Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	21763723; 32531545; 16133421; 10383407; 23247049; 15949682; 12145296; 28928671; 29883404; 34584385; 19718657; 29593722; 25174330; 27890613; 32684173; 18311054; 24371122; 21262584; 16959872; 20338238; 25250848; 23099443; 15168018; 16299001; 26828064; 19147991; 10946357; 23880196; 19016618; 23422832; 21474828; 28122883; 30702457; 21272192; 15136056; 18331615; 17464999; 32058595; 18276752; 31988148; 34603769; 17291449; 20170635; 16503643; 10713080; 10625497; 21674150; 26153221; 12488595; 24733016; 29533793; 12547883; 26582580; 31967154; 28634191; 20112301; 19937569; 21181286; 20360851; 33457418; 21217164; 16123174; 24515116; 18402819; 19028791; 27323079; 18305138; 33211179; 21034810; 11718687; 24162852; 18772361; 32308181; 25703059; 22858201; 28555086; 26759003; 28965954; 16517147; 32982800; 15345670; 19436068; 26832365; 21190831; 25855981; 32952497; 19074161	Mebocost
CD36	Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36)	receptor,transporter	WP3942: PPAR signaling; WP4069: Regulation of TLR by endogenous ligand; WP2761: MyD88:MAL(TIRAP) cascade initiated on plasma membrane; WP4066: Interleukin-4 and Interleukin-13 signaling; WP4754: IL18 signaling; WP2775: Toll-like receptor cascades; WP2586: Aryl hydrocarbon receptor pathway; WP1903: Response to elevated platelet cytosolic Ca ions; WP4847: AXL signaling; WP3577: Class I MHC mediated antigen processing and presentation; WP4049: Neutrophil degranulation; WP5181: Roles of ceramides in development of insulin resistance; WP2797: Regulation of lipid metabolism by PPARalpha; WP2784: Binding and uptake of ligands by scavenger receptors; WP5071: PPAR-gamma pathway	HMDB0000827	Stearic acid	Lipids and lipid-like molecules		Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine	37838116	MetaChatDB
CD36	Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36)	receptor,transporter	WP3942: PPAR signaling; WP4069: Regulation of TLR by endogenous ligand; WP2761: MyD88:MAL(TIRAP) cascade initiated on plasma membrane; WP4066: Interleukin-4 and Interleukin-13 signaling; WP4754: IL18 signaling; WP2775: Toll-like receptor cascades; WP2586: Aryl hydrocarbon receptor pathway; WP1903: Response to elevated platelet cytosolic Ca ions; WP4847: AXL signaling; WP3577: Class I MHC mediated antigen processing and presentation; WP4049: Neutrophil degranulation; WP5181: Roles of ceramides in development of insulin resistance; WP2797: Regulation of lipid metabolism by PPARalpha; WP2784: Binding and uptake of ligands by scavenger receptors; WP5071: PPAR-gamma pathway	HMDB0002183	Docosahexaenoic acid	Lipids and lipid-like molecules	alpha-Linolenic acid metabolism	Blood,Cerebrospinal Fluid (CSF),Feces,Urine	35438721	MetaChatDB
CD36	Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36)	receptor,transporter	WP3942: PPAR signaling; WP4069: Regulation of TLR by endogenous ligand; WP2761: MyD88:MAL(TIRAP) cascade initiated on plasma membrane; WP4066: Interleukin-4 and Interleukin-13 signaling; WP4754: IL18 signaling; WP2775: Toll-like receptor cascades; WP2586: Aryl hydrocarbon receptor pathway; WP1903: Response to elevated platelet cytosolic Ca ions; WP4847: AXL signaling; WP3577: Class I MHC mediated antigen processing and presentation; WP4049: Neutrophil degranulation; WP5181: Roles of ceramides in development of insulin resistance; WP2797: Regulation of lipid metabolism by PPARalpha; WP2784: Binding and uptake of ligands by scavenger receptors; WP5071: PPAR-gamma pathway	HMDB0000220	Palmitic acid	Lipids and lipid-like molecules	Fatty Acid Elongation In Mitochondria; Fatty acid Metabolism; Glycerolipid Metabolism; Primary bile acid biosynthesis; Steroid Biosynthesis	Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine	30717785	MetaChatDB
CD36	Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36)	receptor,transporter	WP3942: PPAR signaling; WP4069: Regulation of TLR by endogenous ligand; WP2761: MyD88:MAL(TIRAP) cascade initiated on plasma membrane; WP4066: Interleukin-4 and Interleukin-13 signaling; WP4754: IL18 signaling; WP2775: Toll-like receptor cascades; WP2586: Aryl hydrocarbon receptor pathway; WP1903: Response to elevated platelet cytosolic Ca ions; WP4847: AXL signaling; WP3577: Class I MHC mediated antigen processing and presentation; WP4049: Neutrophil degranulation; WP5181: Roles of ceramides in development of insulin resistance; WP2797: Regulation of lipid metabolism by PPARalpha; WP2784: Binding and uptake of ligands by scavenger receptors; WP5071: PPAR-gamma pathway	HMDB0000207	Oleic acid	Lipids and lipid-like molecules		Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	30213558	MetaChatDB
CD36	Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36)	receptor,transporter	WP3942: PPAR signaling; WP4069: Regulation of TLR by endogenous ligand; WP2761: MyD88:MAL(TIRAP) cascade initiated on plasma membrane; WP4066: Interleukin-4 and Interleukin-13 signaling; WP4754: IL18 signaling; WP2775: Toll-like receptor cascades; WP2586: Aryl hydrocarbon receptor pathway; WP1903: Response to elevated platelet cytosolic Ca ions; WP4847: AXL signaling; WP3577: Class I MHC mediated antigen processing and presentation; WP4049: Neutrophil degranulation; WP5181: Roles of ceramides in development of insulin resistance; WP2797: Regulation of lipid metabolism by PPARalpha; WP2784: Binding and uptake of ligands by scavenger receptors; WP5071: PPAR-gamma pathway	HMDB0003229	Palmitoleic acid	Lipids and lipid-like molecules		Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	30717785	MetaChatDB
CD36	Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36)	receptor,transporter	WP3942: PPAR signaling; WP4069: Regulation of TLR by endogenous ligand; WP2761: MyD88:MAL(TIRAP) cascade initiated on plasma membrane; WP4066: Interleukin-4 and Interleukin-13 signaling; WP4754: IL18 signaling; WP2775: Toll-like receptor cascades; WP2586: Aryl hydrocarbon receptor pathway; WP1903: Response to elevated platelet cytosolic Ca ions; WP4847: AXL signaling; WP3577: Class I MHC mediated antigen processing and presentation; WP4049: Neutrophil degranulation; WP5181: Roles of ceramides in development of insulin resistance; WP2797: Regulation of lipid metabolism by PPARalpha; WP2784: Binding and uptake of ligands by scavenger receptors; WP5071: PPAR-gamma pathway	HMDB0001999	Eicosapentaenoic acid	Lipids and lipid-like molecules	alpha-Linolenic acid metabolism	Blood,Feces,Sweat,Urine	35438721	MetaChatDB
CD36	Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36)	receptor,transporter	WP3942: PPAR signaling; WP4069: Regulation of TLR by endogenous ligand; WP2761: MyD88:MAL(TIRAP) cascade initiated on plasma membrane; WP4066: Interleukin-4 and Interleukin-13 signaling; WP4754: IL18 signaling; WP2775: Toll-like receptor cascades; WP2586: Aryl hydrocarbon receptor pathway; WP1903: Response to elevated platelet cytosolic Ca ions; WP4847: AXL signaling; WP3577: Class I MHC mediated antigen processing and presentation; WP4049: Neutrophil degranulation; WP5181: Roles of ceramides in development of insulin resistance; WP2797: Regulation of lipid metabolism by PPARalpha; WP2784: Binding and uptake of ligands by scavenger receptors; WP5071: PPAR-gamma pathway	HMDB0001043	Arachidonic acid	Lipids and lipid-like molecules	Arachidonic Acid Metabolism; alpha-Linolenic acid metabolism	Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	11141076	MetaChatDB
CD36	Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36)	receptor,transporter	WP3942: PPAR signaling; WP4069: Regulation of TLR by endogenous ligand; WP2761: MyD88:MAL(TIRAP) cascade initiated on plasma membrane; WP4066: Interleukin-4 and Interleukin-13 signaling; WP4754: IL18 signaling; WP2775: Toll-like receptor cascades; WP2586: Aryl hydrocarbon receptor pathway; WP1903: Response to elevated platelet cytosolic Ca ions; WP4847: AXL signaling; WP3577: Class I MHC mediated antigen processing and presentation; WP4049: Neutrophil degranulation; WP5181: Roles of ceramides in development of insulin resistance; WP2797: Regulation of lipid metabolism by PPARalpha; WP2784: Binding and uptake of ligands by scavenger receptors; WP5071: PPAR-gamma pathway	HMDB0003276	Hydrogen sulfide	Homogeneous non-metal compounds	Cysteine Metabolism	Blood,Feces	31262715	Mebocost
CD36	Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36)	receptor,transporter	WP3942: PPAR signaling; WP4069: Regulation of TLR by endogenous ligand; WP2761: MyD88:MAL(TIRAP) cascade initiated on plasma membrane; WP4066: Interleukin-4 and Interleukin-13 signaling; WP4754: IL18 signaling; WP2775: Toll-like receptor cascades; WP2586: Aryl hydrocarbon receptor pathway; WP1903: Response to elevated platelet cytosolic Ca ions; WP4847: AXL signaling; WP3577: Class I MHC mediated antigen processing and presentation; WP4049: Neutrophil degranulation; WP5181: Roles of ceramides in development of insulin resistance; WP2797: Regulation of lipid metabolism by PPARalpha; WP2784: Binding and uptake of ligands by scavenger receptors; WP5071: PPAR-gamma pathway	HMDB0000673	Linoleic acid	Lipids and lipid-like molecules	alpha-Linolenic acid metabolism	Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	18321850	MetaChatDB
CD36	Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36)	receptor,transporter	WP3942: PPAR signaling; WP4069: Regulation of TLR by endogenous ligand; WP2761: MyD88:MAL(TIRAP) cascade initiated on plasma membrane; WP4066: Interleukin-4 and Interleukin-13 signaling; WP4754: IL18 signaling; WP2775: Toll-like receptor cascades; WP2586: Aryl hydrocarbon receptor pathway; WP1903: Response to elevated platelet cytosolic Ca ions; WP4847: AXL signaling; WP3577: Class I MHC mediated antigen processing and presentation; WP4049: Neutrophil degranulation; WP5181: Roles of ceramides in development of insulin resistance; WP2797: Regulation of lipid metabolism by PPARalpha; WP2784: Binding and uptake of ligands by scavenger receptors; WP5071: PPAR-gamma pathway	HMDB0000876	Vitamin D3	Lipids and lipid-like molecules	Steroid Biosynthesis	Blood,Saliva,Urine	Recon2	Mebocost
CD38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (EC 3.2.2.-) (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase 1) (ADPRC 1) (Cyclic ADP-ribose hydrolase 1) (cADPR hydrolase 1) (T10) (CD antigen CD38)	receptor	WP3679: Cell-type dependent selectivity of CCK2R signaling; WP2889: Oxytocin signaling	HMDB0000902	NAD	Nucleosides, nucleotides, and analogues	Androgen and Estrogen Metabolism; Arginine and proline metabolism; Butyrate Metabolism; Caffeine Metabolism; Citric Acid Cycle; Cysteine Metabolism; Fatty Acid Elongation In Mitochondria; Fatty acid Metabolism; Fructose and mannose metabolism; Galactose Metabolism; Glutamate Metabolism; Glycerolipid Metabolism; Glycine, serine and threonine metabolism; Glycolysis_Gluconeogenesis; Histidine metabolism; Inositol phosphate metabolism; Ketone Body Metabolism; Lysine degradation; Methionine Metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Nucleotide Sugars Metabolism; One carbon pool by folate; Oxidative phosphorylation; Phospholipid Biosynthesis; Porphyrin Metabolism; Primary bile acid biosynthesis; Propanoate metabolism; Pterine Biosynthesis; Purine metabolism; Pyruvate metabolism; Retinol Metabolism; Selenocompound metabolism; Starch and sucrose metabolism; Steroidogenesis; Tryptophan metabolism; Tyrosine metabolism; Urea Cycle; Valine, leucine and isoleucine degradation; beta-Alanine metabolism	Blood,Cellular Cytoplasm	15650244	MetaChatDB
CD38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 (EC 3.2.2.-) (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase 1) (ADPRC 1) (Cyclic ADP-ribose hydrolase 1) (cADPR hydrolase 1) (T10) (CD antigen CD38)	receptor	WP3679: Cell-type dependent selectivity of CCK2R signaling; WP2889: Oxytocin signaling	HMDB0001178	Adenosine diphosphate ribose	Nucleosides, nucleotides, and analogues	Glutamate Metabolism; Nicotinate and nicotinamide metabolism; Purine metabolism		Recon2	Mebocost
CD44	CD44 antigen (CDw44) (Epican) (Extracellular matrix receptor III) (ECMR-III) (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Heparan sulfate proteoglycan) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (PGP-1) (Phagocytic glycoprotein I) (PGP-I) (CD antigen CD44)	receptor	WP5097: CCL18 signaling; WP1836: Interferon gamma signaling; WP4541: Hippo-Merlin signaling dysregulation; WP4049: Neutrophil degranulation; WP399: Wnt signaling and pluripotency; WP4659: Gastrin signaling	HMDB0002061	Hyaluronic acid	Organic oxygen compounds		Blood,Cerebrospinal Fluid (CSF)	29354263	MetaChatDB
CD81	CD81 antigen (26 kDa cell surface protein TAPA-1) (Target of the antiproliferative antibody 1) (Tetraspanin-28) (Tspan-28) (CD antigen CD81)	receptor	WP1829: Immunoregulatory interactions between lymphoid and non-lymphoid cells; WP4754: IL18 signaling; WP1798: Complement cascade; WP23: B cell receptor signaling	HMDB0000067	Cholesterol	Lipids and lipid-like molecules	Primary bile acid biosynthesis; Steroid Biosynthesis; Steroidogenesis	Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine	32900848	MetaChatDB
CFTR	Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel)	transporter	WP1780: ABC-family proteins mediated transport; WP3322: RHO GTPases regulate CFTR trafficking	HMDB0000538	Adenosine triphosphate	Nucleosides, nucleotides, and analogues	Alanine, aspartate and glutamate metabolism; Amino Sugar Metabolism; Arginine and proline metabolism; Aspartate Metabolism; Biosynthesis of unsaturated fatty acids; Biotin Metabolism; Butyrate Metabolism; Citric Acid Cycle; Cysteine Metabolism; Fatty acid Metabolism; Fructose and mannose metabolism; Galactose Metabolism; Glutamate Metabolism; Glutathione metabolism; Glycerolipid Metabolism; Glycine, serine and threonine metabolism; Glycolysis_Gluconeogenesis; Histidine metabolism; Inositol phosphate metabolism; Methionine Metabolism; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; Nucleotide Sugars Metabolism; One carbon pool by folate; Oxidative phosphorylation; Pantothenate and CoA Biosynthesis; Phenylalanine and Tyrosine Metabolism; Phenylalanine metabolism; Phosphatidylinositol Phosphate Metabolism; Primary bile acid biosynthesis; Propanoate metabolism; Purine metabolism; Pyrimidine metabolism; Pyruvate metabolism; Riboflavin Metabolism; Selenocompound metabolism; Starch and sucrose metabolism; Steroid Biosynthesis; Sulfur metabolism; Thiamine Metabolism; Tryptophan metabolism; Urea Cycle; Valine, leucine and isoleucine degradation	Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva	39324358; 9065435	MetalinkDB
CFTR	Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel)	transporter	WP1780: ABC-family proteins mediated transport; WP3322: RHO GTPases regulate CFTR trafficking	HMDB0000595	Hydrogen carbonate	Organic acids and derivatives	Alanine, aspartate and glutamate metabolism; Citric Acid Cycle; Glutamate Metabolism; Glycolysis_Gluconeogenesis; Propanoate metabolism; Pyrimidine metabolism; Pyruvate metabolism; Urea Cycle; Valine, leucine and isoleucine degradation	Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva,Urine	32520327	MetalinkDB
CFTR	Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel)	transporter	WP1780: ABC-family proteins mediated transport; WP3322: RHO GTPases regulate CFTR trafficking	HMDB0011624	Decyl alcohol	Lipids and lipid-like molecules		Feces	14967738	MetalinkDB
CFTR	Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel)	transporter	WP1780: ABC-family proteins mediated transport; WP3322: RHO GTPases regulate CFTR trafficking	HMDB0031479	1-Heptanol	Lipids and lipid-like molecules		Feces	14967738	MetalinkDB
CFTR	Cystic fibrosis transmembrane conductance regulator (CFTR) (ATP-binding cassette sub-family C member 7) (Channel conductance-controlling ATPase) (EC 5.6.1.6) (cAMP-dependent chloride channel)	transporter	WP1780: ABC-family proteins mediated transport; WP3322: RHO GTPases regulate CFTR trafficking	HMDB0034261	(±)-2-Octanol	Lipids and lipid-like molecules			14967738	MetalinkDB
CHRM1	Muscarinic acetylcholine receptor M1	receptor	WP3594: Circadian rhythm genes; WP4424: G alpha (q) signaling events; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling; WP51: Regulation of actin cytoskeleton; WP4419: Class A/1 (rhodopsin-like receptors); WP58: Monoamine GPCRs; WP455: GPCRs, class A rhodopsin-like; WP4172: PI3K-Akt signaling	HMDB0000895	Acetylcholine	Organic nitrogen compounds	Phospholipid Biosynthesis	Cerebrospinal Fluid (CSF),Saliva	30157420;	Mebocost; MetalinkDB
CHRM2	Muscarinic acetylcholine receptor M2	receptor	WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling; WP117: GPCRs, other; WP51: Regulation of actin cytoskeleton; WP4423: G alpha (i) signaling events; WP4419: Class A/1 (rhodopsin-like receptors); WP58: Monoamine GPCRs; WP455: GPCRs, class A rhodopsin-like; WP4172: PI3K-Akt signaling	HMDB0000895	Acetylcholine	Organic nitrogen compounds	Phospholipid Biosynthesis	Cerebrospinal Fluid (CSF),Saliva	23743182;	Mebocost; MetalinkDB
CHRM3	Muscarinic acetylcholine receptor M3	receptor	WP4424: G alpha (q) signaling events; WP117: GPCRs, other; WP4874: CAMKK2 pathway; WP51: Regulation of actin cytoskeleton; WP4419: Class A/1 (rhodopsin-like receptors); WP58: Monoamine GPCRs; WP455: GPCRs, class A rhodopsin-like	HMDB0000895	Acetylcholine	Organic nitrogen compounds	Phospholipid Biosynthesis	Cerebrospinal Fluid (CSF),Saliva	30157420;	Mebocost; MetalinkDB
CHRM4	Muscarinic acetylcholine receptor M4	receptor	WP51: Regulation of actin cytoskeleton; WP4423: G alpha (i) signaling events; WP4419: Class A/1 (rhodopsin-like receptors); WP58: Monoamine GPCRs; WP455: GPCRs, class A rhodopsin-like	HMDB0000895	Acetylcholine	Organic nitrogen compounds	Phospholipid Biosynthesis	Cerebrospinal Fluid (CSF),Saliva	https://gpcrdb.org/ligand/statistics;	Mebocost; MetalinkDB
CHRM5	Muscarinic acetylcholine receptor M5	receptor	WP4424: G alpha (q) signaling events; WP51: Regulation of actin cytoskeleton; WP4419: Class A/1 (rhodopsin-like receptors); WP58: Monoamine GPCRs; WP455: GPCRs, class A rhodopsin-like	HMDB0000895	Acetylcholine	Organic nitrogen compounds	Phospholipid Biosynthesis	Cerebrospinal Fluid (CSF),Saliva	https://gpcrdb.org/ligand/statistics;	Mebocost; MetalinkDB
CHRNA1	Acetylcholine receptor subunit alpha	receptor,transporter	WP4454: Acetylcholine binding and downstream events	HMDB0000895	Acetylcholine	Organic nitrogen compounds	Phospholipid Biosynthesis	Cerebrospinal Fluid (CSF),Saliva	28045942;	Mebocost; MetalinkDB
CHRNA2	Neuronal acetylcholine receptor subunit alpha-2 (Nicotinic acetylcholine receptor subunit alpha-2)	receptor,transporter	WP4454: Acetylcholine binding and downstream events	HMDB0000895	Acetylcholine	Organic nitrogen compounds	Phospholipid Biosynthesis	Cerebrospinal Fluid (CSF),Saliva	29785025;	Mebocost; MetalinkDB
