,Metabolite,Sensor,Metabolite.Pathway,Sensor.Pathway,Metabolite.Names,Long.Range.Channel
324,HMDB0000131,Fgfr1,Galactose metabolism; Glycerolipid metabolism,WP2064: Neural crest differentiation; WP2261: Glioblastoma signaling pathways; WP2857: Mesodermal commitment pathway; WP382: MAPK signaling pathway; WP3931: Embryonic stem cell pluripotency pathways; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP3995: Prion disease pathway; WP4155: Endometrial cancer; WP4172: PI3K-Akt signaling pathway; WP4223: Ras signaling; WP4262: Breast cancer pathway; WP4321: Thermogenesis; WP4540: Hippo signaling regulation pathways; WP4541: Hippo-Merlin signaling dysregulation; WP4657: 22q11.2 copy number variation syndrome; WP4674: Head and neck squamous cell carcinoma; WP474: Endochondral ossification; WP4746: Thyroid hormones production and peripheral downstream signaling effects; WP4787: Osteoblast differentiation and related diseases; WP4808: Endochondral ossification with skeletal dysplasias; WP5055: Burn wound healing; WP5074: Kallmann syndrome; WP5087: Pleural mesothelioma; WP51: Regulation of actin cytoskeleton; WP5312: Metabolic pathways of fibroblasts; WP5353: Macrophage-stimulating protein (MSP) signaling network map; WP5373: Osteoarthritic chondrocyte hypertrophy; WP5434: Pathways in cancer,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
325,HMDB0000131,CD22,Galactose metabolism; Glycerolipid metabolism,WP23: B cell receptor signaling pathway; WP5078: T cell modulation in pancreatic cancer; WP5092: Interactions of natural killer cells in pancreatic cancer; WP5115: Network map of SARS-CoV-2 signaling pathway; WP5218: Extrafollicular and follicular B cell activation by SARS-CoV-2,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
326,HMDB0000131,Cd320,Galactose metabolism; Glycerolipid metabolism,WP4271: Vitamin B12 disorders; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
327,HMDB0000131,Rack1,Galactose metabolism; Glycerolipid metabolism,WP138: Androgen receptor signaling pathway; WP2380: Brain-derived neurotrophic factor (BDNF) signaling pathway; WP3888: VEGFA-VEGFR2 signaling; WP4630: Measles virus infection; WP5036: Angiotensin II receptor type 1 pathway; WP5300: TROP2 regulatory signaling; WP585: Interferon type I signaling pathways,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
328,HMDB0000131,Erbb2,Galactose metabolism; Glycerolipid metabolism,WP2034: Leptin signaling pathway; WP2037: Prolactin signaling pathway; WP2261: Glioblastoma signaling pathways; WP2571: Polycystic kidney disease pathway; WP2814: Mammary gland development pathway - Puberty (Stage 2 of 4); WP2817: Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4); WP2828: Bladder cancer; WP2870: Extracellular vesicle-mediated signaling in recipient cells; WP306: Focal adhesion; WP3303: RAC1/PAK1/p38/MMP2 pathway; WP3651: Pathways affected in adenoid cystic carcinoma; WP3680: Physico-chemical features and toxicity-associated pathways; WP4155: Endometrial cancer; WP4255: Non-small cell lung cancer; WP4262: Breast cancer pathway; WP4263: Pancreatic adenocarcinoma pathway; WP437: EGF/EGFR signaling pathway; WP4674: Head and neck squamous cell carcinoma; WP4806: EGFR tyrosine kinase inhibitor resistance; WP5221: 2q11.2 copy number variation syndrome; WP5287: 17q12 copy number variation syndrome; WP5434: Pathways in cancer; WP673: ErbB signaling pathway; WP710: DNA damage response (only ATM dependent),Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
329,HMDB0000131,Pigr,Galactose metabolism; Glycerolipid metabolism,,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
330,HMDB0000131,Nsd1,Galactose metabolism; Glycerolipid metabolism,WP2369: Histone modifications; WP3651: Pathways affected in adenoid cystic carcinoma; WP5380: 5q35 copy number variation,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
331,HMDB0000131,Itgam,Galactose metabolism; Glycerolipid metabolism,WP185: Integrin-mediated cell adhesion; WP2877: Vitamin D receptor pathway; WP3937: Microglia pathogen phagocytosis pathway; WP3945: TYROBP causal network in microglia; WP4136: Fibrin complement receptor 3 signaling pathway; WP4541: Hippo-Merlin signaling dysregulation; WP5090: Complement system in neuronal development and plasticity; WP5293: Acute myeloid leukemia,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
332,HMDB0000131,Trav7n-5,Galactose metabolism; Glycerolipid metabolism,,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
333,HMDB0000131,Tnfrsf9,Galactose metabolism; Glycerolipid metabolism,WP5078: T cell modulation in pancreatic cancer,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
334,HMDB0000132,Slc29a2,Purine metabolism,,Guanine,"Blood,Cellular Cytoplasm,Feces,Saliva,Urine"
335,HMDB0000133,Slc29a1,Purine metabolism,WP1601: Fluoropyrimidine activity; WP3591: Sleep regulation,Guanosine,"Blood,Breast Milk,Cellular Cytoplasm,Feces,Saliva,Urine"
336,HMDB0000133,Slc29a2,Purine metabolism,,Guanosine,"Blood,Breast Milk,Cellular Cytoplasm,Feces,Saliva,Urine"
337,HMDB0000134,Slc13a5,Arginine and proline metabolism; Aspartate metabolism; Citric acid cycle; Oxidative phosphorylation; Phenylalanine and tyrosine metabolism; Purine metabolism; Tyrosine metabolism; Urea cycle,,Fumaric acid,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
338,HMDB0000142,Gfra2,Androgen and estrogen metabolism; One carbon pool by folate; Pterine biosynthesis; Steroid biosynthesis; Tryptophan metabolism,,Formic acid,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
339,HMDB0000142,Nectin1,Androgen and estrogen metabolism; One carbon pool by folate; Pterine biosynthesis; Steroid biosynthesis; Tryptophan metabolism,,Formic acid,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
340,HMDB0000142,EGFR,Androgen and estrogen metabolism; One carbon pool by folate; Pterine biosynthesis; Steroid biosynthesis; Tryptophan metabolism,"WP138: Androgen receptor signaling pathway; WP2261: Glioblastoma signaling pathways; WP2324: AGE/RAGE pathway; WP2363: Gastric cancer network 2; WP2431: Spinal cord injury; WP2586: Aryl hydrocarbon receptor pathway; WP2643: Nanoparticle-mediated activation of receptor signaling; WP2817: Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4); WP2828: Bladder cancer; WP2840: Hair follicle development: cytodifferentiation - part 3 of 3; WP2868: TCA cycle nutrient use and invasiveness of ovarian cancer; WP2870: Extracellular vesicle-mediated signaling in recipient cells; WP2873: Aryl hydrocarbon receptor pathway; WP2882: Nuclear receptors meta-pathway; WP306: Focal adhesion; WP3303: RAC1/PAK1/p38/MMP2 pathway; WP3611: Photodynamic therapy-induced AP-1 survival signaling; WP3680: Physico-chemical features and toxicity-associated pathways; WP382: MAPK signaling pathway; WP3853: ERK pathway in Huntington's disease; WP3873: RIOK1 and RIOK2 in EGFR- and PI3K-mediated tumorigenesis; WP3927: BMP signaling in eyelid development; WP3931: Embryonic stem cell pluripotency pathways; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP4018: Clear cell renal cell carcinoma pathways; WP4155: Endometrial cancer; WP4172: PI3K-Akt signaling pathway; WP4217: Ebola virus infection in host; WP4223: Ras signaling; WP4255: Non-small cell lung cancer; WP4262: Breast cancer pathway; WP4263: Pancreatic adenocarcinoma pathway; WP4300: Extracellular vesicles in the crosstalk of cardiac cells; WP437: EGF/EGFR signaling pathway; WP4483: Relationship between inflammation, COX-2 and EGFR; WP4538: Regulatory circuits of the STAT3 signaling pathway; WP4540: Hippo signaling regulation pathways; WP4541: Hippo-Merlin signaling dysregulation; WP4657: 22q11.2 copy number variation syndrome; WP4659: Gastrin signaling pathway; WP4674: Head and neck squamous cell carcinoma; WP4806: EGFR tyrosine kinase inhibitor resistance; WP5087: Pleural mesothelioma; WP51: Regulation of actin cytoskeleton; WP5144: NRP1-triggered signaling pathways in pancreatic cancer ; WP5158: Urotensin-II-mediated signaling pathway; WP5224: 2q37 copy number variation syndrome; WP5300: TROP2 regulatory signaling; WP5362: TAR syndrome; WP5366: NF1 copy number variation syndrome ; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP; WP5426: HDAC6 interactions in the central nervous system; WP5434: Pathways in cancer; WP673: ErbB signaling pathway",Formic acid,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
341,HMDB0000142,Esr1,Androgen and estrogen metabolism; One carbon pool by folate; Pterine biosynthesis; Steroid biosynthesis; Tryptophan metabolism,"WP170: Nuclear receptors; WP2034: Leptin signaling pathway; WP2586: Aryl hydrocarbon receptor pathway; WP2814: Mammary gland development pathway - Puberty (Stage 2 of 4); WP2817: Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4); WP2881: Estrogen receptor pathway; WP2882: Nuclear receptors meta-pathway; WP4262: Breast cancer pathway; WP4483: Relationship between inflammation, COX-2 and EGFR; WP4545: Oxysterols derived from cholesterol; WP4673: Male infertility; WP4949: 16p11.2 proximal deletion syndrome; WP5235: Estradiol regulation in porto-sinusoidal vascular disease; WP5269: Genetic causes of porto-sinusoidal vascular disease; WP5316: Primary ovarian insufficiency; WP5318: Female steroid hormones in cardiomyocyte energy metabolism; WP5345: 1p36 copy number variation syndrome; WP5368: Sulfatase and aromatase pathway; WP5434: Pathways in cancer; WP712: Estrogen signaling pathway",Formic acid,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
342,HMDB0000142,Ncoa2,Androgen and estrogen metabolism; One carbon pool by folate; Pterine biosynthesis; Steroid biosynthesis; Tryptophan metabolism,WP138: Androgen receptor signaling pathway; WP2355: Corticotropin-releasing hormone signaling pathway; WP236: Adipogenesis; WP2875: Constitutive androstane receptor pathway; WP2876: Pregnane X receptor pathway; WP2882: Nuclear receptors meta-pathway; WP3594: Circadian rhythm genes,Formic acid,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
343,HMDB0000142,Ret,Androgen and estrogen metabolism; One carbon pool by folate; Pterine biosynthesis; Steroid biosynthesis; Tryptophan metabolism,WP236: Adipogenesis; WP2586: Aryl hydrocarbon receptor pathway; WP2855: Dopaminergic neurogenesis; WP4481: Resistin as a regulator of inflammation; WP4823: Genes controlling nephrogenesis; WP4830: GDNF/RET signaling axis; WP5053: Development of ureteric collection system; WP5342: Pathophysiological roles of DUX4 in FSHD1; WP5434: Pathways in cancer; WP706: Sudden infant death syndrome (SIDS) susceptibility pathways; WP716: Vitamin A and carotenoid metabolism,Formic acid,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
344,HMDB0000142,Calcrl,Androgen and estrogen metabolism; One carbon pool by folate; Pterine biosynthesis; Steroid biosynthesis; Tryptophan metabolism,"WP2197: Endothelin pathways; WP334: GPCRs, class B secretin-like; WP5224: 2q37 copy number variation syndrome",Formic acid,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
345,HMDB0000142,Grb7,Androgen and estrogen metabolism; One carbon pool by folate; Pterine biosynthesis; Steroid biosynthesis; Tryptophan metabolism,WP304: Kit receptor signaling pathway; WP3303: RAC1/PAK1/p38/MMP2 pathway; WP5287: 17q12 copy number variation syndrome,Formic acid,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
346,HMDB0000142,Ncor1,Androgen and estrogen metabolism; One carbon pool by folate; Pterine biosynthesis; Steroid biosynthesis; Tryptophan metabolism,WP138: Androgen receptor signaling pathway; WP236: Adipogenesis; WP34: Ovarian infertility; WP3584: MECP2 and associated Rett syndrome; WP3594: Circadian rhythm genes; WP3651: Pathways affected in adenoid cystic carcinoma; WP4312: Rett syndrome; WP4657: 22q11.2 copy number variation syndrome; WP61: Notch signaling pathway,Formic acid,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
347,HMDB0000142,Agtr2,Androgen and estrogen metabolism; One carbon pool by folate; Pterine biosynthesis; Steroid biosynthesis; Tryptophan metabolism,"WP24: Peptide GPCRs; WP4538: Regulatory circuits of the STAT3 signaling pathway; WP455: GPCRs, class A rhodopsin-like; WP4756: Renin-angiotensin-aldosterone system (RAAS); WP4799: Downregulation of ACE2 by SARS-CoV-2 spike protein; WP4830: GDNF/RET signaling axis; WP4969: RAS and bradykinin pathways in COVID-19; WP5038: Mitochondrial immune response to SARS-CoV-2; WP5133: Non-classical role of vitamin D; WP5316: Primary ovarian insufficiency; WP554: ACE inhibitor pathway",Formic acid,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
348,HMDB0000142,Gnrhr,Androgen and estrogen metabolism; One carbon pool by folate; Pterine biosynthesis; Steroid biosynthesis; Tryptophan metabolism,"WP117: GPCRs, other; WP24: Peptide GPCRs; WP5362: TAR syndrome",Formic acid,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
349,HMDB0000142,Nr0b2,Androgen and estrogen metabolism; One carbon pool by folate; Pterine biosynthesis; Steroid biosynthesis; Tryptophan metabolism,WP138: Androgen receptor signaling pathway; WP2879: Farnesoid X receptor pathway; WP2881: Estrogen receptor pathway; WP2882: Nuclear receptors meta-pathway,Formic acid,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
350,HMDB0000142,Pparg,Androgen and estrogen metabolism; One carbon pool by folate; Pterine biosynthesis; Steroid biosynthesis; Tryptophan metabolism,"WP1403: AMP-activated protein kinase signaling; WP1541: Energy metabolism; WP170: Nuclear receptors; WP1982: Sterol regulatory element-binding proteins (SREBP) signaling; WP2011: SREBF and miR33 in cholesterol and lipid homeostasis; WP236: Adipogenesis; WP2456: HIF1A and PPARG regulation of glycolysis; WP2875: Constitutive androstane receptor pathway; WP2876: Pregnane X receptor pathway; WP2879: Farnesoid X receptor pathway; WP2882: Nuclear receptors meta-pathway; WP2895: Differentiation of white and brown adipocyte; WP299: Nuclear receptors in lipid metabolism and toxicity; WP3407: FTO obesity variant mechanism; WP3594: Circadian rhythm genes; WP3599: Transcription factor regulation in adipogenesis; WP363: Wnt signaling pathway; WP3630: NAD metabolism, sirtuins and aging; WP3850: Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling; WP391: Mitochondrial gene expression; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP3942: PPAR signaling pathway; WP4149: White fat cell differentiation; WP4191: Caloric restriction and aging; WP4211: Transcriptional cascade regulating adipogenesis; WP4321: Thermogenesis; WP4659: Gastrin signaling pathway; WP4719: Eicosanoid metabolism via cyclooxygenases (COX); WP4720: Eicosanoid metabolism via cytochrome P450 monooxygenases pathway; WP4746: Thyroid hormones production and peripheral downstream signaling effects; WP4787: Osteoblast differentiation and related diseases; WP4844: Influence of laminopathies on Wnt signaling; WP4879: Overlap between signal transduction pathways contributing to LMNA laminopathies; WP4949: 16p11.2 proximal deletion syndrome; WP4970: Galanin receptor pathway; WP5066: FOXA2 pathway; WP5087: Pleural mesothelioma; WP5102: Familial partial lipodystrophy; WP5103: Progeria-associated lipodystrophy; WP5231: Hippocampal synaptogenesis and neurogenesis; WP5294: Sildenafil treatment; WP5318: Female steroid hormones in cardiomyocyte energy metabolism; WP5342: Pathophysiological roles of DUX4 in FSHD1; WP5402: 10q22q23 copy number variation; WP5434: Pathways in cancer; WP706: Sudden infant death syndrome (SIDS) susceptibility pathways; WP98: Prostaglandin synthesis and regulation",Formic acid,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
351,HMDB0000142,Egfr,Androgen and estrogen metabolism; One carbon pool by folate; Pterine biosynthesis; Steroid biosynthesis; Tryptophan metabolism,"WP138: Androgen receptor signaling pathway; WP2261: Glioblastoma signaling pathways; WP2324: AGE/RAGE pathway; WP2363: Gastric cancer network 2; WP2431: Spinal cord injury; WP2586: Aryl hydrocarbon receptor pathway; WP2643: Nanoparticle-mediated activation of receptor signaling; WP2817: Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4); WP2828: Bladder cancer; WP2840: Hair follicle development: cytodifferentiation - part 3 of 3; WP2868: TCA cycle nutrient use and invasiveness of ovarian cancer; WP2870: Extracellular vesicle-mediated signaling in recipient cells; WP2873: Aryl hydrocarbon receptor pathway; WP2882: Nuclear receptors meta-pathway; WP306: Focal adhesion; WP3303: RAC1/PAK1/p38/MMP2 pathway; WP3611: Photodynamic therapy-induced AP-1 survival signaling; WP3680: Physico-chemical features and toxicity-associated pathways; WP382: MAPK signaling pathway; WP3853: ERK pathway in Huntington's disease; WP3873: RIOK1 and RIOK2 in EGFR- and PI3K-mediated tumorigenesis; WP3927: BMP signaling in eyelid development; WP3931: Embryonic stem cell pluripotency pathways; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP4018: Clear cell renal cell carcinoma pathways; WP4155: Endometrial cancer; WP4172: PI3K-Akt signaling pathway; WP4217: Ebola virus infection in host; WP4223: Ras signaling; WP4255: Non-small cell lung cancer; WP4262: Breast cancer pathway; WP4263: Pancreatic adenocarcinoma pathway; WP4300: Extracellular vesicles in the crosstalk of cardiac cells; WP437: EGF/EGFR signaling pathway; WP4483: Relationship between inflammation, COX-2 and EGFR; WP4538: Regulatory circuits of the STAT3 signaling pathway; WP4540: Hippo signaling regulation pathways; WP4541: Hippo-Merlin signaling dysregulation; WP4657: 22q11.2 copy number variation syndrome; WP4659: Gastrin signaling pathway; WP4674: Head and neck squamous cell carcinoma; WP4806: EGFR tyrosine kinase inhibitor resistance; WP5087: Pleural mesothelioma; WP51: Regulation of actin cytoskeleton; WP5144: NRP1-triggered signaling pathways in pancreatic cancer ; WP5158: Urotensin-II-mediated signaling pathway; WP5224: 2q37 copy number variation syndrome; WP5300: TROP2 regulatory signaling; WP5362: TAR syndrome; WP5366: NF1 copy number variation syndrome ; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP; WP5426: HDAC6 interactions in the central nervous system; WP5434: Pathways in cancer; WP673: ErbB signaling pathway",Formic acid,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
352,HMDB0000143,Slc2a2,Galactose metabolism; Nucleotide sugars metabolism; Starch and sucrose metabolism,WP1584: Type II diabetes mellitus; WP1946: Cori cycle; WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP4917: Proximal tubule transport; WP5173: Disorders of galactose metabolism ; WP5178: Disorders of fructose metabolism; WP534: Glycolysis and gluconeogenesis; WP5355: Metabolic Epileptic Disorders; WP5446: GLP-1 secretion from intestine to portal vein,D-Galactose,"Blood,Breast Milk,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
353,HMDB0000143,Slc2a3,Galactose metabolism; Nucleotide sugars metabolism; Starch and sucrose metabolism,WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway; WP3614: Photodynamic therapy-induced HIF-1 survival signaling; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP4141: PI3K/AKT/mTOR - vitamin D3 signaling; WP5083: Neuroinflammation and glutamatergic signaling; WP5283: Chronic hyperglycemia impairment of neuron function; WP5314: Lactate shuttle in glial cells; WP534: Glycolysis and gluconeogenesis; WP5355: Metabolic Epileptic Disorders,D-Galactose,"Blood,Breast Milk,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
354,HMDB0000143,Slc2a8,Galactose metabolism; Nucleotide sugars metabolism; Starch and sucrose metabolism,WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway,D-Galactose,"Blood,Breast Milk,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
355,HMDB0000143,Slc2a10,Galactose metabolism; Nucleotide sugars metabolism; Starch and sucrose metabolism,WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway,D-Galactose,"Blood,Breast Milk,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
356,HMDB0000143,Slc2a1,Galactose metabolism; Nucleotide sugars metabolism; Starch and sucrose metabolism,WP1946: Cori cycle; WP2456: HIF1A and PPARG regulation of glycolysis; WP2853: Endoderm differentiation; WP2857: Mesodermal commitment pathway; WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway; WP3614: Photodynamic therapy-induced HIF-1 survival signaling; WP3888: VEGFA-VEGFR2 signaling; WP3915: Angiopoietin-like protein 8 regulatory pathway; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP4018: Clear cell renal cell carcinoma pathways; WP4206: Hereditary leiomyomatosis and renal cell carcinoma pathway; WP4241: Type 2 papillary renal cell carcinoma; WP4290: Metabolic reprogramming in colon cancer; WP4629: Aerobic glycolysis; WP4742: Ketogenesis and ketolysis; WP481: Insulin signaling; WP4917: Proximal tubule transport; WP4963: p53 transcriptional gene network; WP5046: NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence; WP5083: Neuroinflammation and glutamatergic signaling; WP5087: Pleural mesothelioma; WP5094: Orexin receptor pathway; WP5211: Glucose metabolism in triple-negative breast cancer cells; WP5213: Amino acid metabolism in triple-negative breast cancer cells; WP5216: Warburg effect modulated by deubiquitinating enzymes and their substrates; WP5220: Metabolic reprogramming in pancreatic cancer; WP5283: Chronic hyperglycemia impairment of neuron function; WP5312: Metabolic pathways of fibroblasts; WP5314: Lactate shuttle in glial cells; WP534: Glycolysis and gluconeogenesis; WP5353: Macrophage-stimulating protein (MSP) signaling network map; WP5355: Metabolic Epileptic Disorders; WP5390: Pancreatic cancer subtypes; WP5408: 15q25 copy number variation; WP5434: Pathways in cancer,D-Galactose,"Blood,Breast Milk,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Urine"
357,HMDB0000145,Esr1,Androgen and estrogen metabolism; Sulfur metabolism,"WP170: Nuclear receptors; WP2034: Leptin signaling pathway; WP2586: Aryl hydrocarbon receptor pathway; WP2814: Mammary gland development pathway - Puberty (Stage 2 of 4); WP2817: Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4); WP2881: Estrogen receptor pathway; WP2882: Nuclear receptors meta-pathway; WP4262: Breast cancer pathway; WP4483: Relationship between inflammation, COX-2 and EGFR; WP4545: Oxysterols derived from cholesterol; WP4673: Male infertility; WP4949: 16p11.2 proximal deletion syndrome; WP5235: Estradiol regulation in porto-sinusoidal vascular disease; WP5269: Genetic causes of porto-sinusoidal vascular disease; WP5316: Primary ovarian insufficiency; WP5318: Female steroid hormones in cardiomyocyte energy metabolism; WP5345: 1p36 copy number variation syndrome; WP5368: Sulfatase and aromatase pathway; WP5434: Pathways in cancer; WP712: Estrogen signaling pathway",Estrone,"Blood,Urine"
358,HMDB0000148,Slc1a1,"Alanine, aspartate and glutamate metabolism; Amino sugar metabolism; Arachidonic acid metabolism; Arginine and proline metabolism; Aspartate metabolism; Beta-alanine metabolism; Cysteine metabolism; Glutamate metabolism; Glutathione metabolism; Glycine, serine and threonine metabolism; Histidine metabolism; Lysine degradation; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; One carbon pool by folate; Phenylalanine and tyrosine metabolism; Propanoate metabolism; Purine metabolism; Tryptophan metabolism; Tyrosine metabolism; Urea cycle; Valine, leucine and isoleucine degradation",WP4917: Proximal tubule transport; WP5029: Amino acid transport defects (IEMs); WP5083: Neuroinflammation and glutamatergic signaling,L-Glutamic acid,"Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
359,HMDB0000148,Trpv1,"Alanine, aspartate and glutamate metabolism; Amino sugar metabolism; Arachidonic acid metabolism; Arginine and proline metabolism; Aspartate metabolism; Beta-alanine metabolism; Cysteine metabolism; Glutamate metabolism; Glutathione metabolism; Glycine, serine and threonine metabolism; Histidine metabolism; Lysine degradation; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; One carbon pool by folate; Phenylalanine and tyrosine metabolism; Propanoate metabolism; Purine metabolism; Tryptophan metabolism; Tyrosine metabolism; Urea cycle; Valine, leucine and isoleucine degradation",WP3947: Serotonin and anxiety; WP4721: Eicosanoid metabolism via lipooxygenases (LOX); WP5283: Chronic hyperglycemia impairment of neuron function; WP5444: Acetaminophen in analgesia and antipyresis,L-Glutamic acid,"Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
360,HMDB0000148,Grm7,"Alanine, aspartate and glutamate metabolism; Amino sugar metabolism; Arachidonic acid metabolism; Arginine and proline metabolism; Aspartate metabolism; Beta-alanine metabolism; Cysteine metabolism; Glutamate metabolism; Glutathione metabolism; Glycine, serine and threonine metabolism; Histidine metabolism; Lysine degradation; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; One carbon pool by folate; Phenylalanine and tyrosine metabolism; Propanoate metabolism; Purine metabolism; Tryptophan metabolism; Tyrosine metabolism; Urea cycle; Valine, leucine and isoleucine degradation","WP501: GPCRs, class C metabotropic glutamate, pheromone; WP5083: Neuroinflammation and glutamatergic signaling; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP",L-Glutamic acid,"Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
361,HMDB0000148,Grin2d,"Alanine, aspartate and glutamate metabolism; Amino sugar metabolism; Arachidonic acid metabolism; Arginine and proline metabolism; Aspartate metabolism; Beta-alanine metabolism; Cysteine metabolism; Glutamate metabolism; Glutathione metabolism; Glycine, serine and threonine metabolism; Histidine metabolism; Lysine degradation; Nicotinate and nicotinamide metabolism; Nitrogen metabolism; One carbon pool by folate; Phenylalanine and tyrosine metabolism; Propanoate metabolism; Purine metabolism; Tryptophan metabolism; Tyrosine metabolism; Urea cycle; Valine, leucine and isoleucine degradation",WP2059: Alzheimer's disease and miRNA effects; WP3944: Serotonin and anxiety-related events; WP4008: NO/cGMP/PKG mediated neuroprotection; WP4222: Phosphodiesterases in neuronal function; WP4288: MTHFR deficiency; WP4539: Synaptic signaling pathways associated with autism spectrum disorder; WP4698: Vitamin D-sensitive calcium signaling in depression; WP4875: Disruption of postsynaptic signaling by CNV; WP5083: Neuroinflammation and glutamatergic signaling; WP5124: Alzheimer's disease; WP5398: NRXN1 deletion syndrome; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP,L-Glutamic acid,"Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
