,Metabolite,Sensor,Metabolite.Pathway,Sensor.Pathway,Metabolite.Names,Long.Range.Channel
184,HMDB0000122,TRPV4,Galactose metabolism; Glycolysis_gluconeogenesis; Glycolysis_gluconeogenesis; Starch and sucrose metabolism,,D-Glucose,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
185,HMDB0000122,SLC2A8,Galactose metabolism; Glycolysis_gluconeogenesis; Glycolysis_gluconeogenesis; Starch and sucrose metabolism,WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway,D-Glucose,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
186,HMDB0000122,SLC2A6,Galactose metabolism; Glycolysis_gluconeogenesis; Glycolysis_gluconeogenesis; Starch and sucrose metabolism,WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway,D-Glucose,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
187,HMDB0000122,SLC2A10,Galactose metabolism; Glycolysis_gluconeogenesis; Glycolysis_gluconeogenesis; Starch and sucrose metabolism,WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway,D-Glucose,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
188,HMDB0000122,SLC2A12,Galactose metabolism; Glycolysis_gluconeogenesis; Glycolysis_gluconeogenesis; Starch and sucrose metabolism,WP2853: Endoderm differentiation; WP2857: Mesodermal commitment pathway; WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway,D-Glucose,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
189,HMDB0000122,CHRM2,Galactose metabolism; Glycolysis_gluconeogenesis; Glycolysis_gluconeogenesis; Starch and sucrose metabolism,"WP117: GPCRs, other; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP4172: PI3K-Akt signaling pathway; WP455: GPCRs, class A rhodopsin-like; WP51: Regulation of actin cytoskeleton; WP536: Calcium regulation in cardiac cells; WP58: Monoamine GPCRs; WP706: Sudden infant death syndrome (SIDS) susceptibility pathways",D-Glucose,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
190,HMDB0000122,SLC2A7,Galactose metabolism; Glycolysis_gluconeogenesis; Glycolysis_gluconeogenesis; Starch and sucrose metabolism,WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway,D-Glucose,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
191,HMDB0000122,SLC2A9,Galactose metabolism; Glycolysis_gluconeogenesis; Glycolysis_gluconeogenesis; Starch and sucrose metabolism,WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway,D-Glucose,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
192,HMDB0000122,SLC2A4,Galactose metabolism; Glycolysis_gluconeogenesis; Glycolysis_gluconeogenesis; Starch and sucrose metabolism,WP1403: AMP-activated protein kinase signaling; WP1584: Type II diabetes mellitus; WP1946: Cori cycle; WP236: Adipogenesis; WP2877: Vitamin D receptor pathway; WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway; WP3599: Transcription factor regulation in adipogenesis; WP3634: Insulin signaling in adipocytes (normal condition); WP3635: Insulin signaling in adipocytes (diabetic condition); WP3915: Angiopoietin-like protein 8 regulatory pathway; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP4030: SCFA and skeletal muscle substrate metabolism; WP4657: 22q11.2 copy number variation syndrome; WP481: Insulin signaling; WP4844: Influence of laminopathies on Wnt signaling; WP4970: Galanin receptor pathway; WP5046: NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence; WP5094: Orexin receptor pathway; WP5181: Roles of ceramides in development of insulin resistance; WP5318: Female steroid hormones in cardiomyocyte energy metabolism; WP534: Glycolysis and gluconeogenesis; WP5346: 8p23.1 copy number variation syndrome; WP5355: Metabolic Epileptic Disorders,D-Glucose,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
193,HMDB0000122,SLC2A3,Galactose metabolism; Glycolysis_gluconeogenesis; Glycolysis_gluconeogenesis; Starch and sucrose metabolism,WP2882: Nuclear receptors meta-pathway; WP2884: NRF2 pathway; WP3614: Photodynamic therapy-induced HIF-1 survival signaling; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP4141: PI3K/AKT/mTOR - vitamin D3 signaling; WP5083: Neuroinflammation and glutamatergic signaling; WP5283: Chronic hyperglycemia impairment of neuron function; WP5314: Lactate shuttle in glial cells; WP534: Glycolysis and gluconeogenesis; WP5355: Metabolic Epileptic Disorders,D-Glucose,"Blood,Breast Milk,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
194,HMDB0000123,GLRB,"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Glutamate metabolism; Glutathione metabolism; Glycine, serine and threonine metabolism; Methionine metabolism; Nitrogen metabolism; Porphyrin metabolism; Primary bile acid biosynthesis; Purine metabolism",WP5417: Cell lineage map for neuronal differentiation,Glycine,"Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
195,HMDB0000123,SLC16A10,"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Glutamate metabolism; Glutathione metabolism; Glycine, serine and threonine metabolism; Methionine metabolism; Nitrogen metabolism; Porphyrin metabolism; Primary bile acid biosynthesis; Purine metabolism",WP4746: Thyroid hormones production and peripheral downstream signaling effects; WP4917: Proximal tubule transport,Glycine,"Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
196,HMDB0000123,GLRA2,"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Glutamate metabolism; Glutathione metabolism; Glycine, serine and threonine metabolism; Methionine metabolism; Nitrogen metabolism; Porphyrin metabolism; Primary bile acid biosynthesis; Purine metabolism",WP5417: Cell lineage map for neuronal differentiation,Glycine,"Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
197,HMDB0000123,GRIN2D,"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Glutamate metabolism; Glutathione metabolism; Glycine, serine and threonine metabolism; Methionine metabolism; Nitrogen metabolism; Porphyrin metabolism; Primary bile acid biosynthesis; Purine metabolism",WP2059: Alzheimer's disease and miRNA effects; WP3944: Serotonin and anxiety-related events; WP4008: NO/cGMP/PKG mediated neuroprotection; WP4222: Phosphodiesterases in neuronal function; WP4288: MTHFR deficiency; WP4539: Synaptic signaling pathways associated with autism spectrum disorder; WP4698: Vitamin D-sensitive calcium signaling in depression; WP4875: Disruption of postsynaptic signaling by CNV; WP5083: Neuroinflammation and glutamatergic signaling; WP5124: Alzheimer's disease; WP5398: NRXN1 deletion syndrome; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP,Glycine,"Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
198,HMDB0000123,SLC36A1,"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Glutamate metabolism; Glutathione metabolism; Glycine, serine and threonine metabolism; Methionine metabolism; Nitrogen metabolism; Porphyrin metabolism; Primary bile acid biosynthesis; Purine metabolism",,Glycine,"Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
199,HMDB0000123,GRIN1,"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Glutamate metabolism; Glutathione metabolism; Glycine, serine and threonine metabolism; Methionine metabolism; Nitrogen metabolism; Porphyrin metabolism; Primary bile acid biosynthesis; Purine metabolism",WP2059: Alzheimer's disease and miRNA effects; WP2380: Brain-derived neurotrophic factor (BDNF) signaling pathway; WP2431: Spinal cord injury; WP2636: Common pathways underlying drug addiction; WP3584: MECP2 and associated Rett syndrome; WP3676: BDNF-TrkB signaling; WP4008: NO/cGMP/PKG mediated neuroprotection; WP4148: Splicing factor NOVA regulated synaptic proteins; WP4222: Phosphodiesterases in neuronal function; WP4223: Ras signaling; WP4288: MTHFR deficiency; WP4539: Synaptic signaling pathways associated with autism spectrum disorder; WP4549: Fragile X syndrome; WP4698: Vitamin D-sensitive calcium signaling in depression; WP4875: Disruption of postsynaptic signaling by CNV; WP5083: Neuroinflammation and glutamatergic signaling; WP5124: Alzheimer's disease; WP5380: 5q35 copy number variation; WP5398: NRXN1 deletion syndrome; WP5417: Cell lineage map for neuronal differentiation; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP; WP706: Sudden infant death syndrome (SIDS) susceptibility pathways,Glycine,"Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
200,HMDB0000123,GLRA1,"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Glutamate metabolism; Glutathione metabolism; Glycine, serine and threonine metabolism; Methionine metabolism; Nitrogen metabolism; Porphyrin metabolism; Primary bile acid biosynthesis; Purine metabolism",WP5417: Cell lineage map for neuronal differentiation,Glycine,"Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
201,HMDB0000123,GRIN2A,"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Glutamate metabolism; Glutathione metabolism; Glycine, serine and threonine metabolism; Methionine metabolism; Nitrogen metabolism; Porphyrin metabolism; Primary bile acid biosynthesis; Purine metabolism",WP2059: Alzheimer's disease and miRNA effects; WP2636: Common pathways underlying drug addiction; WP3591: Sleep regulation; WP4008: NO/cGMP/PKG mediated neuroprotection; WP4222: Phosphodiesterases in neuronal function; WP4223: Ras signaling; WP4288: MTHFR deficiency; WP4312: Rett syndrome; WP4539: Synaptic signaling pathways associated with autism spectrum disorder; WP4549: Fragile X syndrome; WP4685: Melanoma; WP4698: Vitamin D-sensitive calcium signaling in depression; WP4875: Disruption of postsynaptic signaling by CNV; WP5083: Neuroinflammation and glutamatergic signaling; WP5124: Alzheimer's disease; WP5398: NRXN1 deletion syndrome; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP,Glycine,"Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
202,HMDB0000123,GLRA3,"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Glutamate metabolism; Glutathione metabolism; Glycine, serine and threonine metabolism; Methionine metabolism; Nitrogen metabolism; Porphyrin metabolism; Primary bile acid biosynthesis; Purine metabolism",WP5417: Cell lineage map for neuronal differentiation,Glycine,"Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
203,HMDB0000123,LAIR1,"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Glutamate metabolism; Glutathione metabolism; Glycine, serine and threonine metabolism; Methionine metabolism; Nitrogen metabolism; Porphyrin metabolism; Primary bile acid biosynthesis; Purine metabolism",,Glycine,"Bile,Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
204,HMDB0000125,KLRK1,Arachidonic acid metabolism; Glutamate metabolism; Glutathione metabolism; Pyruvate metabolism,WP5092: Interactions of natural killer cells in pancreatic cancer,Glutathione,"Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva,Urine"
205,HMDB0000125,CD79B,Arachidonic acid metabolism; Glutamate metabolism; Glutathione metabolism; Pyruvate metabolism,WP23: B cell receptor signaling pathway,Glutathione,"Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva,Urine"
206,HMDB0000125,PPARG,Arachidonic acid metabolism; Glutamate metabolism; Glutathione metabolism; Pyruvate metabolism,"WP1403: AMP-activated protein kinase signaling; WP1541: Energy metabolism; WP170: Nuclear receptors; WP1982: Sterol regulatory element-binding proteins (SREBP) signaling; WP2011: SREBF and miR33 in cholesterol and lipid homeostasis; WP236: Adipogenesis; WP2456: HIF1A and PPARG regulation of glycolysis; WP2875: Constitutive androstane receptor pathway; WP2876: Pregnane X receptor pathway; WP2879: Farnesoid X receptor pathway; WP2882: Nuclear receptors meta-pathway; WP2895: Differentiation of white and brown adipocyte; WP299: Nuclear receptors in lipid metabolism and toxicity; WP3407: FTO obesity variant mechanism; WP3594: Circadian rhythm genes; WP3599: Transcription factor regulation in adipogenesis; WP363: Wnt signaling pathway; WP3630: NAD metabolism, sirtuins and aging; WP3850: Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling; WP391: Mitochondrial gene expression; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP3942: PPAR signaling pathway; WP4149: White fat cell differentiation; WP4191: Caloric restriction and aging; WP4211: Transcriptional cascade regulating adipogenesis; WP4321: Thermogenesis; WP4659: Gastrin signaling pathway; WP4719: Eicosanoid metabolism via cyclooxygenases (COX); WP4720: Eicosanoid metabolism via cytochrome P450 monooxygenases pathway; WP4746: Thyroid hormones production and peripheral downstream signaling effects; WP4787: Osteoblast differentiation and related diseases; WP4844: Influence of laminopathies on Wnt signaling; WP4879: Overlap between signal transduction pathways contributing to LMNA laminopathies; WP4949: 16p11.2 proximal deletion syndrome; WP4970: Galanin receptor pathway; WP5066: FOXA2 pathway; WP5087: Pleural mesothelioma; WP5102: Familial partial lipodystrophy; WP5103: Progeria-associated lipodystrophy; WP5231: Hippocampal synaptogenesis and neurogenesis; WP5294: Sildenafil treatment; WP5318: Female steroid hormones in cardiomyocyte energy metabolism; WP5342: Pathophysiological roles of DUX4 in FSHD1; WP5402: 10q22q23 copy number variation; WP5434: Pathways in cancer; WP706: Sudden infant death syndrome (SIDS) susceptibility pathways; WP98: Prostaglandin synthesis and regulation",Glutathione,"Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva,Urine"
207,HMDB0000125,TREM1,Arachidonic acid metabolism; Glutamate metabolism; Glutathione metabolism; Pyruvate metabolism,WP2877: Vitamin D receptor pathway; WP3937: Microglia pathogen phagocytosis pathway; WP4478: LTF danger signal response pathway,Glutathione,"Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva,Urine"
208,HMDB0000125,ABCB6,Arachidonic acid metabolism; Glutamate metabolism; Glutathione metabolism; Pyruvate metabolism,,Glutathione,"Blood,Cellular Cytoplasm,Cerebrospinal Fluid (CSF),Saliva,Urine"
209,HMDB0000131,GRK2,Galactose metabolism; Glycerolipid metabolism,WP3929: Chemokine signaling pathway; WP4249: Hedgehog signaling pathway; WP47: Hedgehog signaling pathway; WP5426: HDAC6 interactions in the central nervous system,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
210,HMDB0000131,PTK2B,Galactose metabolism; Glycerolipid metabolism,WP205: IL-7 signaling pathway; WP2263: Androgen receptor network in prostate cancer; WP2374: Oncostatin M signaling pathway; WP2380: Brain-derived neurotrophic factor (BDNF) signaling pathway; WP2864: Apoptosis-related network due to altered Notch3 in ovarian cancer; WP313: Hepatocyte growth factor receptor signaling; WP3888: VEGFA-VEGFR2 signaling; WP3929: Chemokine signaling pathway; WP437: EGF/EGFR signaling pathway; WP4666: Hepatitis B infection; WP4747: Netrin-UNC5B signaling pathway; WP49: IL-2 signaling pathway; WP5097: CCL18 signaling pathway; WP5399: NPHP1 deletion syndrome; WP5412: 8q11.23 (RB1CC1) copy number variation; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP; WP5426: HDAC6 interactions in the central nervous system; WP69: T-cell receptor signaling pathway,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
211,HMDB0000131,NCOA2,Galactose metabolism; Glycerolipid metabolism,WP138: Androgen receptor signaling pathway; WP2355: Corticotropin-releasing hormone signaling pathway; WP236: Adipogenesis; WP2875: Constitutive androstane receptor pathway; WP2876: Pregnane X receptor pathway; WP2882: Nuclear receptors meta-pathway; WP3594: Circadian rhythm genes,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
212,HMDB0000131,MCOLN2,Galactose metabolism; Glycerolipid metabolism,,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
213,HMDB0000131,PTPRN,Galactose metabolism; Glycerolipid metabolism,WP5380: 5q35 copy number variation,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
214,HMDB0000131,TGFBR1,Galactose metabolism; Glycerolipid metabolism,WP2795: Cardiac hypertrophic response; WP2870: Extracellular vesicle-mediated signaling in recipient cells; WP3646: Hepatitis C and hepatocellular carcinoma; WP366: TGF-beta signaling pathway; WP3668: Hypothesized pathways in pathogenesis of cardiovascular disease; WP382: MAPK signaling pathway; WP3874: Canonical and non-canonical TGF-B signaling; WP3945: TYROBP causal network in microglia; WP400: p38 MAPK signaling pathway; WP4216: Chromosomal and microsatellite instability in colorectal cancer ; WP4239: Epithelial to mesenchymal transition in colorectal cancer; WP4263: Pancreatic adenocarcinoma pathway; WP4331: Neovascularization processes; WP4666: Hepatitis B infection; WP4816: TGF-beta receptor signaling in skeletal dysplasias; WP4838: Regucalcin in proximal tubule epithelial kidney cells; WP4904: LDLRAD4 and what we know about it; WP5036: Angiotensin II receptor type 1 pathway; WP5083: Neuroinflammation and glutamatergic signaling; WP5130: Th17 cell differentiation pathway; WP5144: NRP1-triggered signaling pathways in pancreatic cancer ; WP5356: Affected pathways in Duchenne muscular dystrophy; WP5382: TGFβ/Smad signaling pathway; WP5385: Growth factors and hormones in beta cell proliferation; WP5434: Pathways in cancer; WP560: TGF-beta receptor signaling,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
215,HMDB0000131,TNFRSF11A,Galactose metabolism; Glycerolipid metabolism,WP12: Osteoclast signaling; WP2018: RANKL/RANK signaling pathway; WP2817: Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4); WP3594: Circadian rhythm genes; WP4786: Type I collagen synthesis in the context of osteogenesis imperfecta; WP4788: Autosomal recessive osteopetrosis pathways; WP5187: mRNA vaccine activation of dendritic cell and induction of IFN-1; WP5205: Clock-controlled autophagy in bone metabolism,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
216,HMDB0000131,ANTXR2,Galactose metabolism; Glycerolipid metabolism,,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
217,HMDB0000131,CHRNA7,Galactose metabolism; Glycerolipid metabolism,WP2059: Alzheimer's disease and miRNA effects; WP4222: Phosphodiesterases in neuronal function; WP4942: 15q13.3 copy number variation syndrome; WP5055: Burn wound healing; WP5124: Alzheimer's disease; WP5407: 15q11q13 copy number variation; WP706: Sudden infant death syndrome (SIDS) susceptibility pathways,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
218,HMDB0000131,RORC,Galactose metabolism; Glycerolipid metabolism,WP170: Nuclear receptors; WP3594: Circadian rhythm genes; WP4545: Oxysterols derived from cholesterol; WP4657: 22q11.2 copy number variation syndrome; WP5130: Th17 cell differentiation pathway; WP5198: Inflammatory bowel disease signaling; WP5347: IL-26 signaling pathways,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
219,HMDB0000131,FGFR2,Galactose metabolism; Glycerolipid metabolism,WP1539: Angiogenesis; WP1544: MicroRNAs in cardiomyocyte hypertrophy; WP2064: Neural crest differentiation; WP2261: Glioblastoma signaling pathways; WP2795: Cardiac hypertrophic response; WP2839: Hair follicle development: organogenesis - part 2 of 3; WP2858: Ectoderm differentiation; WP382: MAPK signaling pathway; WP3927: BMP signaling in eyelid development; WP3931: Embryonic stem cell pluripotency pathways; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP4155: Endometrial cancer; WP4172: PI3K-Akt signaling pathway; WP4223: Ras signaling; WP4540: Hippo signaling regulation pathways; WP4541: Hippo-Merlin signaling dysregulation; WP4657: 22q11.2 copy number variation syndrome; WP4674: Head and neck squamous cell carcinoma; WP4787: Osteoblast differentiation and related diseases; WP4790: FGF23 signaling in hypophosphatemic rickets and related disorders; WP4806: EGFR tyrosine kinase inhibitor resistance; WP4823: Genes controlling nephrogenesis; WP4842: Mammalian disorder of sexual development; WP4872: MAP3K1 role in promoting and blocking gonadal determination; WP5053: Development of ureteric collection system; WP5055: Burn wound healing; WP5087: Pleural mesothelioma; WP51: Regulation of actin cytoskeleton; WP5373: Osteoarthritic chondrocyte hypertrophy; WP5434: Pathways in cancer,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
220,HMDB0000131,ADGRG1,Galactose metabolism; Glycerolipid metabolism,"WP117: GPCRs, other",Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
221,HMDB0000131,TRAC,Galactose metabolism; Glycerolipid metabolism,WP5078: T cell modulation in pancreatic cancer,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
222,HMDB0000131,NTRK2,Galactose metabolism; Glycerolipid metabolism,WP2380: Brain-derived neurotrophic factor (BDNF) signaling pathway; WP3676: BDNF-TrkB signaling; WP382: MAPK signaling pathway; WP3853: ERK pathway in Huntington's disease; WP4172: PI3K-Akt signaling pathway; WP4223: Ras signaling; WP4539: Synaptic signaling pathways associated with autism spectrum disorder; WP4540: Hippo signaling regulation pathways; WP4541: Hippo-Merlin signaling dysregulation; WP4549: Fragile X syndrome; WP4565: Neural crest cell migration in cancer; WP4829: mBDNF and proBDNF regulation of GABA neurotransmission; WP5087: Pleural mesothelioma; WP5372: Involvement of δ-secretase in neurodegenerative diseases; WP5400: 6q16 copy number variation; WP706: Sudden infant death syndrome (SIDS) susceptibility pathways,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
223,HMDB0000131,MERTK,Galactose metabolism; Glycerolipid metabolism,WP4217: Ebola virus infection in host; WP4533: Transcription co-factors SKI and SKIL protein partners; WP5090: Complement system in neuronal development and plasticity; WP5222: 2q13 copy number variation syndrome,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
224,HMDB0000131,RTN4R,Galactose metabolism; Glycerolipid metabolism,WP2431: Spinal cord injury; WP4657: 22q11.2 copy number variation syndrome; WP5366: NF1 copy number variation syndrome ; WP5406: 13q12.12 copy number variation,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
225,HMDB0000131,INSR,Galactose metabolism; Glycerolipid metabolism,WP1403: AMP-activated protein kinase signaling; WP15: Selenium micronutrient network; WP1533: Vitamin B12 metabolism; WP1584: Type II diabetes mellitus; WP176: Folate metabolism; WP2059: Alzheimer's disease and miRNA effects; WP2324: AGE/RAGE pathway; WP2509: Nanoparticle triggered autophagic cell death; WP3599: Transcription factor regulation in adipogenesis; WP3634: Insulin signaling in adipocytes (normal condition); WP3635: Insulin signaling in adipocytes (diabetic condition); WP3651: Pathways affected in adenoid cystic carcinoma; WP3915: Angiopoietin-like protein 8 regulatory pathway; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP3935: Leptin-insulin signaling overlap; WP4172: PI3K-Akt signaling pathway; WP4223: Ras signaling; WP4357: NRF2-ARE regulation; WP4396: Nonalcoholic fatty liver disease; WP4540: Hippo signaling regulation pathways; WP4541: Hippo-Merlin signaling dysregulation; WP4673: Male infertility; WP481: Insulin signaling; WP4950: 16p11.2 distal deletion syndrome; WP5083: Neuroinflammation and glutamatergic signaling; WP5087: Pleural mesothelioma; WP5124: Alzheimer's disease; WP5181: Roles of ceramides in development of insulin resistance; WP5385: Growth factors and hormones in beta cell proliferation; WP5400: 6q16 copy number variation; WP5420: ADHD and autism (ASD) linked metabolic pathways and SNP; WP710: DNA damage response (only ATM dependent),Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
226,HMDB0000131,TRBC2,Galactose metabolism; Glycerolipid metabolism,,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
227,HMDB0000131,NTRK1,Galactose metabolism; Glycerolipid metabolism,WP2380: Brain-derived neurotrophic factor (BDNF) signaling pathway; WP3594: Circadian rhythm genes; WP382: MAPK signaling pathway; WP4172: PI3K-Akt signaling pathway; WP4223: Ras signaling; WP4540: Hippo signaling regulation pathways; WP4541: Hippo-Merlin signaling dysregulation; WP5087: Pleural mesothelioma; WP5115: Network map of SARS-CoV-2 signaling pathway; WP5373: Osteoarthritic chondrocyte hypertrophy; WP5434: Pathways in cancer,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
228,HMDB0000131,TBL1XR1,Galactose metabolism; Glycerolipid metabolism,WP4312: Rett syndrome,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
229,HMDB0000131,PPARA,Galactose metabolism; Glycerolipid metabolism,WP1541: Energy metabolism; WP170: Nuclear receptors; WP2011: SREBF and miR33 in cholesterol and lipid homeostasis; WP236: Adipogenesis; WP2878: PPAR-alpha pathway; WP2881: Estrogen receptor pathway; WP2882: Nuclear receptors meta-pathway; WP299: Nuclear receptors in lipid metabolism and toxicity; WP3594: Circadian rhythm genes; WP3942: PPAR signaling pathway; WP4396: Nonalcoholic fatty liver disease; WP4707: Aspirin and miRNAs; WP4720: Eicosanoid metabolism via cytochrome P450 monooxygenases pathway; WP4721: Eicosanoid metabolism via lipooxygenases (LOX); WP5102: Familial partial lipodystrophy; WP5273: Effect of intestinal microbiome on anticoagulant response of vitamin K antagonists; WP5318: Female steroid hormones in cardiomyocyte energy metabolism,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
230,HMDB0000131,F2R,Galactose metabolism; Glycerolipid metabolism,"WP117: GPCRs, other; WP127: IL-5 signaling pathway; WP2038: Microtubule cytoskeleton regulation; WP286: IL-3 signaling pathway; WP2864: Apoptosis-related network due to altered Notch3 in ovarian cancer; WP2865: IL1 and megakaryocytes in obesity; WP3896: Dengue-2 interactions with complement and coagulation cascades; WP3932: Focal adhesion: PI3K-Akt-mTOR-signaling pathway; WP4172: PI3K-Akt signaling pathway; WP4538: Regulatory circuits of the STAT3 signaling pathway; WP455: GPCRs, class A rhodopsin-like; WP4564: Neural crest cell migration during development; WP4565: Neural crest cell migration in cancer; WP51: Regulation of actin cytoskeleton; WP5284: Cell interactions of the pancreatic cancer microenvironment; WP5300: TROP2 regulatory signaling; WP5434: Pathways in cancer; WP558: Complement and coagulation cascades",Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
231,HMDB0000131,CD44,Galactose metabolism; Glycerolipid metabolism,WP3646: Hepatitis C and hepatocellular carcinoma; WP399: Wnt signaling pathway and pluripotency; WP4541: Hippo-Merlin signaling dysregulation; WP4659: Gastrin signaling pathway; WP5087: Pleural mesothelioma,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
232,HMDB0000131,KLRK1,Galactose metabolism; Glycerolipid metabolism,WP5092: Interactions of natural killer cells in pancreatic cancer,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
233,HMDB0000131,TNFRSF14,Galactose metabolism; Glycerolipid metabolism,WP5345: 1p36 copy number variation syndrome; WP5362: TAR syndrome,Glycerol,"Blood,Cerebrospinal Fluid (CSF),Feces,Saliva,Sweat,Urine"
